"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6311","Password recovery with empty field","chromium","Wed Mar 12 08:51:05 GMT 2025","passed","Wed Mar 12 08:51:11 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","7892","Password recovery with a valid email, but without an activated account, TC005","webkit","Wed Mar 12 08:52:28 GMT 2025","passed","Wed Mar 12 08:52:36 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","2258","header elements presence","chromium","Wed Mar 12 07:38:13 GMT 2025","passed","Wed Mar 12 07:38:15 GMT 2025","","test/main.spec.ts","",""
"","4174","Registration with different passwords, TC003","chromium","Wed Mar 12 08:51:11 GMT 2025","passed","Wed Mar 12 08:51:15 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","2979","Header elements presence","firefox","Wed Mar 12 08:51:48 GMT 2025","passed","Wed Mar 12 08:51:51 GMT 2025","","test/main.spec.ts","",""
"","11433","Registration with different passwords, TC003","firefox","Wed Mar 12 08:51:53 GMT 2025","failed","Wed Mar 12 08:52:05 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","11450","Login with empty fields, TC004","webkit","Wed Mar 12 08:52:14 GMT 2025","passed","Wed Mar 12 08:52:26 GMT 2025","","test/login_TC004.spec.ts","",""
"","11526","Login with only login","webkit","Wed Mar 12 08:52:13 GMT 2025","passed","Wed Mar 12 08:52:25 GMT 2025","","test/login_TC004.spec.ts","",""
"","2412","login with only password","chromium","Wed Mar 12 07:38:07 GMT 2025","passed","Wed Mar 12 07:38:10 GMT 2025","","test/login_TC004.spec.ts","",""
"","6088","Registration without required fields, TC004","webkit","Wed Mar 12 08:52:36 GMT 2025","passed","Wed Mar 12 08:52:42 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","1718","Login with only login","chromium","Wed Mar 12 08:51:03 GMT 2025","passed","Wed Mar 12 08:51:05 GMT 2025","","test/login_TC004.spec.ts","",""
"","2975","Registration with empty fields, TC002","chromium","Wed Mar 12 08:51:11 GMT 2025","passed","Wed Mar 12 08:51:14 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","1755","Login with empty fields, TC004","chromium","Wed Mar 12 08:51:03 GMT 2025","passed","Wed Mar 12 08:51:05 GMT 2025","","test/login_TC004.spec.ts","",""
"","14058","Login with invalid data","webkit","Wed Mar 12 08:52:14 GMT 2025","passed","Wed Mar 12 08:52:28 GMT 2025","","test/login_TC004.spec.ts","",""
"","7792","Registration with valid data, TC001","webkit","Wed Mar 12 08:52:34 GMT 2025","passed","Wed Mar 12 08:52:42 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","11502","Login with only password","webkit","Wed Mar 12 08:52:13 GMT 2025","passed","Wed Mar 12 08:52:24 GMT 2025","","test/login_TC004.spec.ts","",""
"","6539","Registration with empty fields, TC002","firefox","Wed Mar 12 08:51:53 GMT 2025","passed","Wed Mar 12 08:51:59 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","7644","Password recovery with invalid email","firefox","Wed Mar 12 08:51:45 GMT 2025","passed","Wed Mar 12 08:51:53 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","19576","Login with only login","firefox","Wed Mar 12 08:51:16 GMT 2025","passed","Wed Mar 12 08:51:36 GMT 2025","","test/login_TC004.spec.ts","",""
"","6975","Password recovery with empty field","firefox","Wed Mar 12 08:51:47 GMT 2025","passed","Wed Mar 12 08:51:54 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","8189","Password recovery with a valid email, but without an activated account, TC005","firefox","Wed Mar 12 08:51:45 GMT 2025","passed","Wed Mar 12 08:51:53 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","5285","Login with invalid data","chromium","Wed Mar 12 08:51:03 GMT 2025","passed","Wed Mar 12 08:51:08 GMT 2025","","test/login_TC004.spec.ts","",""
"","1839","Login with only password","chromium","Wed Mar 12 08:51:03 GMT 2025","passed","Wed Mar 12 08:51:05 GMT 2025","","test/login_TC004.spec.ts","",""
"","16912","Login with only password","firefox","Wed Mar 12 08:51:16 GMT 2025","passed","Wed Mar 12 08:51:33 GMT 2025","","test/login_TC004.spec.ts","",""
"","7288","Password recovery with invalid email","webkit","Wed Mar 12 08:52:28 GMT 2025","passed","Wed Mar 12 08:52:36 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","4636","Registration with valid data, TC001","chromium","Wed Mar 12 08:51:11 GMT 2025","passed","Wed Mar 12 08:51:16 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","18783","Login with invalid data","firefox","Wed Mar 12 08:51:16 GMT 2025","passed","Wed Mar 12 08:51:34 GMT 2025","","test/login_TC004.spec.ts","",""
"","5458","Registration with empty fields, TC002","webkit","Wed Mar 12 08:52:36 GMT 2025","passed","Wed Mar 12 08:52:41 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","6331","Password recovery with invalid email","chromium","Wed Mar 12 08:51:05 GMT 2025","passed","Wed Mar 12 08:51:11 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","2478","Header elements presence","chromium","Wed Mar 12 08:51:08 GMT 2025","passed","Wed Mar 12 08:51:11 GMT 2025","","test/main.spec.ts","",""
"","7218","Password recovery with empty field","webkit","Wed Mar 12 08:52:28 GMT 2025","passed","Wed Mar 12 08:52:36 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","6732","Password recovery with a valid email, but without an activated account, TC005","chromium","Wed Mar 12 08:51:05 GMT 2025","passed","Wed Mar 12 08:51:12 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","5346","login with invalid data","chromium","Wed Mar 12 07:38:07 GMT 2025","passed","Wed Mar 12 07:38:13 GMT 2025","","test/login_TC004.spec.ts","",""
"","2909","Header elements presence","webkit","Wed Mar 12 08:52:31 GMT 2025","passed","Wed Mar 12 08:52:34 GMT 2025","","test/main.spec.ts","",""
"","16380","Registration with valid data, TC001","firefox","Wed Mar 12 08:51:51 GMT 2025","passed","Wed Mar 12 08:52:07 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","9418","Registration without required fields, TC004","firefox","Wed Mar 12 08:51:54 GMT 2025","passed","Wed Mar 12 08:52:03 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","3107","Registration without required fields, TC004","chromium","Wed Mar 12 08:51:12 GMT 2025","passed","Wed Mar 12 08:51:15 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","7189","Registration with different passwords, TC003","webkit","Wed Mar 12 08:52:36 GMT 2025","passed","Wed Mar 12 08:52:43 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","2525","login with only login","chromium","Wed Mar 12 07:38:07 GMT 2025","passed","Wed Mar 12 07:38:10 GMT 2025","","test/login_TC004.spec.ts","",""
"","16939","Login with empty fields, TC004","firefox","Wed Mar 12 08:51:15 GMT 2025","passed","Wed Mar 12 08:51:32 GMT 2025","","test/login_TC004.spec.ts","",""
