"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2947","login with only password","chromium","Mon Mar 03 13:34:06 GMT 2025","passed","Mon Mar 03 13:34:09 GMT 2025","","test/login_TC004.spec.ts","",""
"","6036","login with invalid data","chromium","Mon Mar 03 13:34:06 GMT 2025","passed","Mon Mar 03 13:34:12 GMT 2025","","test/login_TC004.spec.ts","",""
"","3332","Login with empty fields, TC004","chromium","Mon Mar 03 13:34:06 GMT 2025","passed","Mon Mar 03 13:34:10 GMT 2025","","test/login_TC004.spec.ts","",""
"","5499","Password recovery with invalid email","chromium","Mon Mar 03 13:34:10 GMT 2025","passed","Mon Mar 03 13:34:15 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","6563","Registration with different passwords, TC003","chromium","Mon Mar 03 13:34:15 GMT 2025","passed","Mon Mar 03 13:34:22 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","2507","header elements presence","chromium","Mon Mar 03 13:34:12 GMT 2025","passed","Mon Mar 03 13:34:15 GMT 2025","","test/main.spec.ts","",""
"","3096","login with only login","chromium","Mon Mar 03 13:34:06 GMT 2025","passed","Mon Mar 03 13:34:09 GMT 2025","","test/login_TC004.spec.ts","",""
"","6701","Registration with valid data, TC001","chromium","Mon Mar 03 13:34:15 GMT 2025","passed","Mon Mar 03 13:34:22 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","6788","Password recovery with a valid email, but without an activated account, TC005","chromium","Mon Mar 03 13:34:09 GMT 2025","passed","Mon Mar 03 13:34:16 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","5343","Password recovery with empty field","chromium","Mon Mar 03 13:34:10 GMT 2025","passed","Mon Mar 03 13:34:15 GMT 2025","","test/lostPassword_TC005.spec.ts","",""
"","3095","Registration without required fields, TC004","chromium","Mon Mar 03 13:34:16 GMT 2025","passed","Mon Mar 03 13:34:19 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
"","3208","Registration with empty fields, TC002","chromium","Mon Mar 03 13:34:15 GMT 2025","passed","Mon Mar 03 13:34:18 GMT 2025","","test/register_TC001_TC002_TC003.spec.ts","",""
